Title,Author,Citation,Issue,Type ,Description,Year
A Third Place for the Law Library: Integrating Library Services with Academic Support Programs,"Walker, David C.",105 Law Libr. J. 353 (2013),Issue 3,article,,2013
Some Guidance about Federal Agencies and Guidance,"Whisner, Mary",105 Law Libr. J. 385 (2013),Issue 3,article,Regular Feature: Practicing Reference,2013
Lawyers Can't Be Luddites Anymore: Do Law Librarians Have a Role in Helping Lawyers Adjust to the New Ethics Rules Involving Technology,"Jackson, Darla W.",105 Law Libr. J. 395 (2013),Issue 3,article,Regular Feature: Thinking about Technology,2013
Selected Readings on Diversity Issues: Part I,"Gabriel, Raquel J.",105 Law Libr. J. 405 (2013),Issue 3,article,Regular Feature: Diversity Dialogues,2013
Coming into the Country: Resolutions of a New Law Library Director,"Maxwell, Lynne F.",105 Law Libr. J. 413 (2013),Issue 3,article,Regular Feature: Making Management Work,2013
Locked Collections: Copyright and the Future of Research Support,"Jones, D. R.",105 Law Libr. J. 425 (2013),Issue 4,article,,2013
A View from the Flip Side: Using the Inverted Classroom to Enhance the Legal Information Literacy of the International LL.M. Student,"Lemmer, Catherine A.",105 Law Libr. J. 461 (2013),Issue 4,article,,2013
Oh My Blawg - Who Will Save the Legal Blogs,"Young, Caroline",105 Law Libr. J. 493 (2013),Issue 4,article,,2013
Analytical Research Guide to Federal Indian Tax Law,"Clark, M. Christian",105 Law Libr. J. 505 (2013),Issue 4,article,,2013
Marketing and Outreach in Law Libraries: A White Paper,"Dabney, L. Cindy;Runyon, Amanda",105 Law Libr. J. 525 (2013),Issue 4,article,,2013
"Baker, H. Robert Prigg v. Pennsylvania: Slavery, the Supreme Court, and the Ambivalent Constitution","deMaine, Susan David",105 Law Libr. J. 540 (2013),Issue 4,reviews,Keeping up with New Legal Titles,2013
"Banner, Stuart. The Baseball Trust: A History of Baseball's Antitrust Exemption","Rubin, Dana",105 Law Libr. J. 543 (2013),Issue 4,reviews,Keeping up with New Legal Titles,2013
"Cass, Ronald A., and Keith H. Hylton. Laws of Creation: Property Rights in the World of Ideas","Wertkin, Jennifer",105 Law Libr. J. 544 (2013),Issue 4,reviews,Keeping up with New Legal Titles,2013
"Crawford, Susan. Captive Audience: The Telecom Industry and Monopoly Power in the New Gilded Age.","Hibbler, L. Elliott",105 Law Libr. J. 545 (2013),Issue 4,reviews,Keeping up with New Legal Titles,2013
"Daily, James E., and Ryan M. Davidson. The Law of Superheroes","Wimer, Jessica",105 Law Libr. J. 546 (2013),Issue 4,reviews,Keeping up with New Legal Titles,2013
"Gerrard, Michael B., and Gregory E. Wannier, eds. Threatened Island Nations: Legal Implications of Rising Seas and a Changing Climate","Reinke, Janet Lewis",105 Law Libr. J. 548 (2013),Issue 4,reviews,Keeping up with New Legal Titles,2013
He Weifang. In the Name of Justice: Striving for the Rule of Law in China,"Sturgeon, Roy L.",105 Law Libr. J. 549 (2013),Issue 4,reviews,Keeping up with New Legal Titles,2013
"Houppert, Karen. Chasing Gideon: The Elusive Quest for Poor People's Justice","Willis, Clare Gaynor",105 Law Libr. J. 551 (2013),Issue 4,reviews,Keeping up with New Legal Titles,2013
"Howarth, David. Law as Engineering: Thinking About What Lawyers Do","Black-Dorward, Alissa",105 Law Libr. J. 552 (2013),Issue 4,reviews,Keeping up with New Legal Titles,2013
"Hudson, John. The Oxford History of Laws of England: Volume II, 871-1216","Fishman, Joel",105 Law Libr. J. 554 (2013),Issue 4,reviews,Keeping up with New Legal Titles,2013
"Liebert, Tobe. Abortion in the United States: A Compilation of Federal and State Laws","Sampson, Sara",105 Law Libr. J. 556 (2013),Issue 4,reviews,Keeping up with New Legal Titles,2013
"Selwyn, Laurie, and Virginia Eldridge. Public Law Librarianship: Objectives, Challenges, and Solutions","Almoite, Benjamin T.",105 Law Libr. J. 557 (2013),Issue 4,reviews,Keeping up with New Legal Titles,2013
"Sotomayor, Sonia. My Beloved World","Butler, Margaret",105 Law Libr. J. 558 (2013),Issue 4,reviews,Keeping up with New Legal Titles,2013
Thanking and Being Thanked,"Whisner, Mary",105 Law Libr. J. 561 (2013),Issue 4,article,Regular Feature: Practicing Reference,2013
Selected Readings on Diversity Issues: Part II,"Gabriel, Raquel J.",105 Law Libr. J. 567 (2013),Issue 4,article,Regular Feature: Diversity Dialogues,2013
Book Burning in the Twenty-First Century: ABA Standard 606 and the Future of Academic Law Libraries as the Smoke Clears,"Whiteman, Michael",106 Law Libr. J. 11 (2014),Issue 1,article,,2014
"Are You Doing It Backward - Improving Information Literacy Instruction Using the AALL Principles and Standards for Legal Research Competency, Taxonomies, and Backward Design","Talley, Nancy B.",106 Law Libr. J. 47 (2014),Issue 1,article,,2014
"Mentoring, Teaching, and Training the Next Generation of Law Librarians: Past and Present as Prologue to the Future","Chiorazzi, Michael G.",106 Law Libr. J. 69 (2014),Issue 1,article,,2014
It's All Enumerative: Reconsidering Library of Congress Classification in U.S. Law Libraries,"Hallows, Kristen M.",106 Law Libr. J. 85 (2014),Issue 1,article,,2014
Book Review: The Accidental Law Librarian,"Greenfield, Elizabeth A.",106 Law Libr. J. 102 (2014),Issue 1,article,Review Article,2014
There Oughta Be a Law - A Model Law,"Whisner, Mary",106 Law Libr. J. 125 (2014),Issue 1,article,Regular Feature: Practicing Reference,2014
AALL Diversity Redelineated,"Wheeler, Ronald",106 Law Libr. J. 135 (2014),Issue 1,article,Regular Feature: Diversity Dialogues,2014
The History of the American Bar Association Accreditation Standards for Academic Law Libraries,"Belniak, Theodora",106 Law Libr. J. 151 (2014),Issue 2,article,,2014
Law Firm Knowledge Management: A Selected Annotated Bibliography,"Winston, Andrew M.",106 Law Libr. J. 175 (2014),Issue 2,article,,2014
Whatever Tribal Precedent There May Be: The (Un)Availability of Tribal Law,"Shucha, Bonnie",106 Law Libr. J. 199 (2014),Issue 2,article,,2014
Breaking down the Black Box: How Actor Network Theory Can Help Librarians Better Train Law Students in Legal Research Techniques,"Lihosit, Judith",106 Law Libr. J. 211 (2014),Issue 2,article,,2014
"A Preliminary Legal Bibliography of the Pitcairn Islands, South Pacific Ocean","Eshleman, Michael O.",106 Law Libr. J. 221 (2014),Issue 2,article,,2014
The 4-1-1 on Lawyer Directories,"Whisner, Mary",106 Law Libr. J. 257 (2014),Issue 2,article,Practicing Reference,2014
Let's Talk about Race,"Wheeler, Ronald",106 Law Libr. J. 267 (2014),Issue 2,article,Diversity Dialogues,2014
Is This a Profession? Establishing Educational Criteria for Law Librarians,"Caulfield, Elizabeth",106 Law Libr. J. 287 (2014),Issue 3,article,,2014
The ABA Section on Legal Education Revisions of the Law Library Standards: What Does It All Mean,"Russell, Gordon",106 Law Libr. J. 329 (2014),Issue 3,article,,2014
What about the Majority: Considering the Legal Research Practices of Solo and Small Firm Attorneys,"Lawson, Joseph D.",106 Law Libr. J. 377 (2014),Issue 3,article,,2014
A Century's Worth of Access: A Historical Overview of Cataloging in Law Library Journal,"McGrath, Ellen",106 Law Libr. J. 407 (2014),Issue 3,article,,2014
Information Literacy Learning Outcomes among Undergraduate Law Students in Two African Universities,"Lawal, Vicki;Underwood, Peter",106 Law Libr. J. 431 (2014),Issue 3,article,,2014
Getting to Know Fastcase,"Whisner, Mary",106 Law Libr. J. 473 (2014),Issue 3,article,Practicing Reference,2014
Stereotype Threat and Law Librarianship,"Wheeler, Ronald",106 Law Libr. J. 483 (2014),Issue 3,article,Diversity Dialogues,2014
"Legal Education in Crisis, and Why Law Libraries Are Doomed","Milles, James G.",106 Law Libr. J. 507 (2014),Issue 4,article,,2014
Like Mark Twain: The Death of Academic Law Libraries Is an Exaggeration,"Hirsh, Kenneth J.",106 Law Libr. J. 521 (2014),Issue 4,article,,2014
From Disability to Usability in Online Instruction,"deMaine, Susan David",106 Law Libr. J. 531 (2014),Issue 4,article,,2014
"Categorizing the Useful Arts: Part, Present, and Future Development of Patent Classification in the United States","Simmons, Heather J. E.",106 Law Libr. J. 563 (2014),Issue 4,article,,2014
"Vale Bunny Watson: Law Librarians, Law Libraries, and Legal Research in the Post-Internet Era","Hutchinson, Terry",106 Law Libr. J. 579 (2014),Issue 4,article,,2014
"The Emergency Sasquatch Ordinance and Other Real Laws That Human Beings Actually Dreamed up, Enacted, and Have Sometimes Even Enforced","Rosen, Louis M.",106 Law Libr. J. 619 (2014),Issue 4,reviews,Book Review,2014
Race and the Reference Librarian,"Whisner, Mary",106 Law Libr. J. 625 (2014),Issue 4,article,Practicing Reference,2014
"Cybersecurity: Breaches and Heartbleed to BYOD- Are Bankers, Entertainment Company Executives, Celebrities, Postal Workers, Ice Cream Lovers, Home Builders, and CIOs the Only Ones Who Should Be Concerned","Jackson, Darla W.",106 Law Libr. J. 633 (2014),Issue 4,article,Thinking about Technology,2014
To Meet or Not to Meet: That Is the Question,"Maxwell, Lynne F.",106 Law Libr. J. 645 (2014),Issue 4,article,Making Management Work,2014
Law Libraries and Laboratories: The Legacies of Langdell and His Metaphor,"Danner, Richard A.",107 Law Libr. J. 7 (2015),Issue 1,article,,2015
Assessing the Effectiveness of Single-Session Legal Research Skill Instruction through Pre- and Post-Testing: A Case Study,"Lutkenhaus, Rebecca;Wallace, Karen",107 Law Libr. J. 57 (2015),Issue 1,article,,2015
Nowhere to Run; Nowhere to Hide: The Reality of Being a Law Library Director in Times of Great Opportunity and Significant Challenges,"Aranas, Pauline;Barkan, Steven M.;Bintliff, Barbara;Fox, Darin K.;Hazelton, Penny A.;Howland, Joan S.",107 Law Libr. J. 79 (2015),Issue 1,article,,2015
Inclusion and Participation: Law Librarians at Law Faculty Meetings,"Schneider, Charlotte D.",107 Law Libr. J. 113 (2015),Issue 1,article,,2015
"The Career Path, Education, and Activities of Academic Law Library Directors Revisited Twenty-Five Years Later","Slinger, Michael J.;Slinger, Sarah C.",107 Law Libr. J. 175 (2015),Issue 2,article,,2015
A Survey of Law Libraries in Rwanda,"Anderson, Brian D.",107 Law Libr. J. 225 (2015),Issue 2,article,,2015
Indian Treaties: A Bibliography,"DiFelice, Beth",107 Law Libr. J. 241 (2015),Issue 2,article,,2015
Contemporary Land Grabbing: Research Sources and Bibliography,"Lee, Jootaek",107 Law Libr. J. 259 (2015),Issue 2,article,,2015
Getting It from the Source: What Librarians Think about Lawyer Search Behavior,"Chancellor, Renate",107 Law Libr. J. 287 (2015),Issue 2,article,,2015
Not What I Planned (a Writing Detour),"Whisner, Mary",107 Law Libr. J. 319 (2015),Issue 2,article,Practicing Reference,2015
"We All Do It: Unconscious Behavior, Bias, and Diversity","Wheeler, Ronald",107 Law Libr. J. 325 (2015),Issue 2,article,Diversity Dialogues,2015
The Whole Is Greater than the Sum of the Parts: Making the Most of What You Have,"Maxwell, Lynne F.",107 Law Libr. J. 333 (2015),Issue 2,article,Making Management Work,2015
Internet Citations in Oklahoma Attorney General Opinions,"Peoples, Lee F.",107 Law Libr. J. 347 (2015),Issue 3,article,,2015
John West and the Future of Legal Subscription Databases,"Marks, Taryn",107 Law Libr. J. 377 (2015),Issue 3,article,,2015
Empirical Legal Research Support Services: A Survey of Academic Law Libraries,"Reeve, Allison C.;Weller, Travis",107 Law Libr. J. 399 (2015),Issue 3,article,,2015
Igniting the Conversation: Embracing Legal Literacy as the Heart of the Profession,"Ax-Fultz, Laura J.",107 Law Libr. J. 421 (2015),Issue 3,article,,2015
"Michael Brown, Eric Garner, and Law Librarianship","Wheeler, Ronald",107 Law Libr. J. 467 (2015),Issue 3,article,Regular Features: Diversity Dialogues,2015
The View from Above: How Appreciation for the Big Picture Can Benefit (Academic) Law Library Leaders,"Maxwell, Lynne F.",107 Law Libr. J. 477 (2015),Issue 3,article,Regular Features: Making Management Work,2015
Managing Disruptive Patron Behavior in Law Libraries: A Grey Paper,"Dyszlewski, Nicole P.;Moore, Kristen R.;Tung, Genevieve B.",107 Law Libr. J. 491 (2015),Issue 4,article,,2015
The Elephant in the Room: Toward a Definition of Grey Legal Literature,"Rucinski, Taryn L.",107 Law Libr. J. 543 (2015),Issue 4,article,,2015
Zen and the Art of Multitasking: Mindfulness for Law Librarians,"Anzalone, Filippa Marullo",107 Law Libr. J. 561 (2015),Issue 4,article,,2015
Unifying the Nation: Article IV of the United States Constitution,"Braun, Matthew E.",107 Law Libr. J. 601 (2015),Issue 4,reviews,Book Review,2015
Exploring Precedent,"Whisner, Mary",107 Law Libr. J. 605 (2015),Issue 4,article,Regular Features: Practicing Reference,2015
"Possible Futures for the Legal Treatise in an Environment of Wikis, Blogs, and Myriad Online Primary Law Sources","Martin, Peter W.",108 Law Libr. J. 7 (2016),Issue 1,article,,2016
Who Owns This Article: Applying Copyright's Work-Made-for-Hire Doctrine to Librarians' Scholarship,"Hellyer, Paul",108 Law Libr. J. 33 (2016),Issue 1,article,,2016
"From Rome to the Restatement: S.P. Scott, Fred Blume, Clyde Pharr, and Roman Law in Early Twentieth-Century America","Kearley, Timothy G.",108 Law Libr. J. 55 (2016),Issue 1,article,,2016
Yellow Flag Fever: Describing Negative Legal Precedent in Citators,"Kirschenfeld, Aaron S.",108 Law Libr. J. 77 (2016),Issue 1,article,,2016
Mentoring across Generations: The Training of a Millennial Librarian,"Rastorfer, Renee;Rosenof, Liza",108 Law Libr. J. 101 (2016),Issue 1,article,,2016
Animal Stories for Good Reference Librarians,"Whisner, Mary",108 Law Libr. J. 141 (2016),Issue 1,article,Practicing Reference,2016
The Effects of Demand-Driven Acquisitions on Law Library Collection Development,"Sinder, Janet",108 Law Libr. J. 155 (2016),Issue 2,article,,2016
From Law in Blackletter to Blackletter Law,"Cristobal, Kasia Solon",108 Law Libr. J. 181 (2016),Issue 2,article,,2016
"Growing Pains: The History of the UCLA Law Library, 1949-2000","Dewey, Scott Hamilton",108 Law Libr. J. 217 (2016),Issue 2,article,,2016
Assisting Rural Domestic Violence Victims: The Local Librarian's Role,"Benson, Sara R.",108 Law Libr. J. 237 (2016),Issue 2,article,,2016
Evolution and Opportunity: Collection Development of Skills-Specific Resources in the Wake of the ABA's Revised Standards,"Sims, Lee",108 Law Libr. J. 251 (2016),Issue 2,article,,2016
"Data, Data, Data","Whisner, Mary",108 Law Libr. J. 313 (2016),Issue 2,article,Practicing Reference,2016
About Microaggressions,"Wheeler, Ronald",108 Law Libr. J. 321 (2016),Issue 2,article,Diversity Dialogues,2016
Bartleby in the Law Library: Passive Aggression at Work,"Maxwell, Lynne F.",108 Law Libr. J. 331 (2016),Issue 2,article,Making Management Work,2016
Understanding the Other International Agreements,"Harrington, Ryan",108 Law Libr. J. 343 (2016),Issue 3,article,,2016
The Current State of E-Books in U.S. Law Libraries: A Survey,"Randtke, Wilhelmina;Fowler, Stacy",108 Law Libr. J. 361 (2016),Issue 3,article,,2016
Imagining the Use of Intelligent Agents and Artificial Intelligence in Academic Law Libraries,"Talley, Nancy B.",108 Law Libr. J. 383 (2016),Issue 3,article,,2016
"The State of Legal Research Education: A Survey of First-Year Legal Research Programs, or Why Johnny and Jane Cannot Research","Osborne, Caroline L.",108 Law Libr. J. 403 (2016),Issue 3,article,,2016
Due Diligence: Company Information for Law Students,"Morrison, Matthew M.",108 Law Libr. J. 427 (2016),Issue 3,article,,2016
"Batlan, Felice. Women and Justice for the Poor: A History of Legal Aid, 1863-1945","Kiel-Morse, Margaret",108 Law Libr. J. 452 (2016),Issue 3,reviews,Book Review,2016
"Book Review, Principles of Legal Research, Second Edition","Wester, Candle M.",108 Law Libr. J. 464 (2016),Issue 3,reviews,,2016
"Posner, Richard A. Divergent Paths: The Academy and the Judiciary","Baker, Jamie J.",108 Law Libr. J. 467 (2016),Issue 3,reviews,Book Review,2016
Constitutional Personae,"Umberger, Michael N.",108 Law Libr. J. 477 (2016),Issue 3,reviews,Book Review,2016
On Specialized Legal Research,"Whisner, Mary",108 Law Libr. J. 483 (2016),Issue 3,article,Practicing Reference,2016
On Empathy,"Wheeler, Ronald",108 Law Libr. J. 489 (2016),Issue 3,article,Diversity Dialogues,2016
The Need for Experiential Legal Research Education,"Drake, Alyson M.",108 Law Libr. J. 511 (2016),Issue 4,article,,2016
Here Come Your New Colleagues: Are They Ready? A Survey of U.S. Library and Information Science Programs' Education of Aspiring Law Librarians,"Caulfield, Elizabeth",108 Law Libr. J. 535 (2016),Issue 4,article,,2016
Human Subjects Research Review: Scholarly Needs and Service Opportunities,"Ryan, Sarah E.",108 Law Libr. J. 579 (2016),Issue 4,article,,2016
Discovering the Knowledge Monopoly of Law Librarianship under the DIKW Pyramid,"Zhang, Alex",108 Law Libr. J. 599 (2016),Issue 4,article,,2016
